OBJECTID,NAME,CATEGORY,ZIP_CODE,COMMENTS,Location 1
140,MONTE VERDE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94066,Revision based on parcels tax use,"2551 St. Cloud Dr.
SAN BRUNO, CA 94066
(37.636678272610482, -122.452533293690440)"
141,LOMITA PARK ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94066,,"200 Santa Helena Ave.
SAN BRUNO, CA 94066
(37.612155657266321, -122.400996129271930)"
142,THOMAS EDISON ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,Caltrans data,"1267 Southgate Ave.
DALY CITY, CA 94015
(37.676186596955134, -122.485343724945320)"
143,CROCKER MIDDLE SCHOOL,MIDDLE SCHOOL,94010,Caltrans data,"2600 Ralston Ave.
HILLSBOROUGH, CA 94010
(37.566220098498704, -122.362666986103960)"
144,SUMMIT PREPARATORY CHARTER HIGH SCHOOL,HIGH SCHOOL,94063,Based on parcels tax use and Google (old address 260 James Ave. ),"890 Broadway St.
REDWOOD CITY, CA 94063
(37.486598289427668, -122.210944809873690)"
145,SPECIAL EDUCATION SERVICES,SPECIAL EDUCATION,94066,Based on parcels tax use and info from County board of education,"1290 Commodore Dr.
SAN BRUNO, CA 94066
(37.631209094546001, -122.426615494575120)"
146,OCEANA HIGH SCHOOL,HIGH SCHOOL,94044,,"401 Paloma Ave.
PACIFICA, CA 94044
(37.636890079199055, -122.485133650322850)"
147,ST. MATTHEW'S EPISCOPAL DAY SCHOOL,RELIGIOUS SCHOOL,94401,Based on Google Maps,"16 Baldwin Ave.
SAN MATEO, CA 94401
(37.565464202045938, -122.327874651245070)"
148,CIPRIANI ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94002,,"2525 Buena Vista
BELMONT, CA 94002
(37.516827417727683, -122.305287695608800)"
149,EASTSIDE COLLEGE PREPARATORY SCHOOL,MIDDLE/HIGH SCHOOL,94303,Based on parcels tax use and Google,"1041 Myrtle Ave.
EAST PALO ALTO, CA 94303
(37.463341091914266, -122.132863582246260)"
